nohup: ignoring input
Model Params: 63.91M
Trainable Params: 63.912M
Model Params: 63.91M
Trainable Params: 63.912M
`torch_dtype` is deprecated! Use `dtype` instead!
Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards: 100%|██████████| 2/2 [00:00<00:00, 90.89it/s]
Loaded reward model from ../internlm2-1_8b-reward
past_key_values should not be None in from_legacy_cache()
Epoch:[1/1](320/39988), Reward:0.5745, KL:-0.0313, GrpStd:0.0000, AdvStd:0.0000, Loss:0.0015, AvgLen:42.00, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](330/39988), Reward:-0.7345, KL:-0.0062, GrpStd:0.0389, AdvStd:1.4106, Loss:0.0748, AvgLen:42.00, AdvMean:-0.0000, LR:0.00000030
Epoch:[1/1](340/39988), Reward:-1.2053, KL:-0.0065, GrpStd:0.8512, AdvStd:1.4140, Loss:-0.1393, AvgLen:72.00, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](350/39988), Reward:-1.8700, KL:-0.0202, GrpStd:0.3404, AdvStd:1.4138, Loss:-0.0192, AvgLen:80.00, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](360/39988), Reward:0.6704, KL:-0.0088, GrpStd:0.0000, AdvStd:0.0000, Loss:0.0001, AvgLen:39.00, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](370/39988), Reward:-2.7975, KL:0.0001, GrpStd:0.1871, AdvStd:1.4135, Loss:0.0994, AvgLen:226.00, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](380/39988), Reward:-2.1842, KL:0.0057, GrpStd:0.0729, AdvStd:1.4123, Loss:-0.3459, AvgLen:184.50, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](390/39988), Reward:0.5540, KL:0.0014, GrpStd:0.5413, AdvStd:1.4140, Loss:0.1951, AvgLen:98.00, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](400/39988), Reward:-0.3770, KL:0.0037, GrpStd:0.4004, AdvStd:1.4139, Loss:-0.1286, AvgLen:58.50, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](410/39988), Reward:-0.6179, KL:-0.0321, GrpStd:0.1254, AdvStd:1.4131, Loss:-0.0010, AvgLen:51.00, AdvMean:-0.0000, LR:0.00000030
Epoch:[1/1](420/39988), Reward:-0.9341, KL:-0.0194, GrpStd:0.9194, AdvStd:1.4141, Loss:-0.2772, AvgLen:45.50, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](430/39988), Reward:-1.9461, KL:0.0020, GrpStd:0.1896, AdvStd:1.4135, Loss:0.1304, AvgLen:256.00, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](440/39988), Reward:-2.3301, KL:0.0024, GrpStd:0.2246, AdvStd:1.4136, Loss:-0.0305, AvgLen:256.00, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](450/39988), Reward:-2.7233, KL:0.0024, GrpStd:0.1420, AdvStd:1.4132, Loss:0.0363, AvgLen:189.50, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](460/39988), Reward:-1.1387, KL:0.0023, GrpStd:0.0322, AdvStd:1.4098, Loss:0.0627, AvgLen:40.00, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](470/39988), Reward:0.0637, KL:0.0034, GrpStd:0.5302, AdvStd:1.4139, Loss:0.0164, AvgLen:102.00, AdvMean:0.0000, LR:0.00000030
Epoch:[1/1](480/39988), Reward:-0.9512, KL:-0.0293, GrpStd:0.0000, AdvStd:0.0000, Loss:0.0008, AvgLen:48.00, AdvMean:0.0000, LR:0.00000030
